name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
canon_eos_1100d_03,9206906,9352460,145554,1.581,4290,2856,12252240,3,6.0116,6.1066,0.095,17.6186,7.4576,0.8188,0.8061,7.2656,G,,,0.05111,0.0474,1.05,0,2855,284013,0.0232,1.171,0.878,0.953,0.772,2,0.01501,24,together,9375279.3,9352440,-0.244,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=200  w=(28,28) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=184"
canon_eos_1100d_04,10741639,10745048,3409,0.032,4290,2856,12252240,3,7.0137,7.0159,0.0022,19.3254,9.0163,0.7781,0.7779,8.5666,G,,,0.03078,0.03031,1.03,0,2855,354728,0.029,0.24,0.852,0.899,0.814,2,0.00792,24,together,11289990.3,10745028,-4.827,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=153  w=(65,33) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=166"
canon_eos_1100d_05,9725937,9809436,83499,0.859,4290,2856,12252240,3,6.3505,6.405,0.0545,18.1877,7.8272,0.8183,0.8113,7.6609,G,,,0.04962,0.03942,1.05,0,2855,325236,0.0265,1.216,0.949,0.968,0.896,2,0.01415,24,together,9849839.3,9809416,-0.41,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=162  w=(49,21) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=130"
canon_eos_1100d_06,9706841,9889768,182927,1.885,2856,4290,12252240,3,6.338,6.4574,0.1194,20.4417,7.9799,0.8092,0.7943,7.7483,G,,,0.04016,0.03895,1.04,0,4289,618902,0.0505,0.488,0.582,0.896,0.407,2,0.01168,24,together,9921755.3,9889748,-0.323,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=170  w=(40,26) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=172"
canon_eos_1100d_11,11574562,11622740,48178,0.416,4290,2856,12252240,3,7.5575,7.589,0.0315,19.0883,9.9213,0.7649,0.7617,9.3113,G,,,0.02239,0.02001,1.02,0,2855,256993,0.021,0.217,0.887,0.953,0.864,2,0.00536,21,together,12422398.3,11622720,-6.437,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=220  w=(43,37) | plane 1: slot 1  refs+p2   dc=191 | plane 2: slot 0  p2"
canon_eos_1100d_12,9890818,10033356,142538,1.441,4290,2856,12252240,3,6.4581,6.5512,0.0931,19.1777,8.3337,0.7861,0.7749,7.8582,G,,,0.03563,0.03942,1.04,0,2855,172303,0.0141,0.819,0.935,0.985,0.892,2,0.00962,21,together,10538942.3,10033336,-4.798,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=209  w=(40,40) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=198"
canon_eos_1100d_13,11008683,11193572,184889,1.679,2856,4290,12252240,3,7.188,7.3088,0.1207,20.7279,9.0119,0.811,0.7976,8.6685,G,,,0.02527,0.02267,1.03,0,4289,636740,0.052,0.637,0.96,0.946,0.931,2,0.00707,24,together,11687742.3,11193552,-4.228,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=173  w=(36,33) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=172"
canon_eos_1100d_14,12002707,12112828,110121,0.917,4290,2856,12252240,3,7.8371,7.909,0.0719,21.1633,10.2983,0.768,0.761,9.5816,G,,,0.02113,0.02065,1.02,0,2855,651735,0.0532,0.122,0.909,0.933,0.894,2,0.00469,24,together,12578706.3,12112808,-3.704,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=161  w=(59,36) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=127"
canon_eos_1100d_15,9206635,9457860,251225,2.729,2856,4290,12252240,3,6.0114,6.1754,0.164,19.7761,7.515,0.8218,0.7999,7.2274,G,,,0.03847,0.03907,1.04,0,4289,121327,0.0099,0.185,0.952,0.993,0.929,2,0.00924,21,together,9870542.3,9457840,-4.181,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=226  w=(35,33) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=227"
fujifilm_finepix_x100_01,9180815,9523700,342885,3.735,4310,2870,12369700,3,5.9376,6.1594,0.2218,20.5818,9.2786,0.6638,0.6399,7.2315,G,,,0.05316,0.04922,1.06,0,2869,363641,0.0294,0.198,0.922,0.896,0.75,2,0.01243,24,together,9614838.3,9523680,-0.948,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=198  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=209"
